    ,Ngày đăng bài,Tên,Giá,Năm SX,Nhiên liệu,Kiểu dáng,Tình trạng,Km đã đi,Hộp số,Xuất xứ,Tỉnh thành
160,04/10/2025,Toyota Innova 2.0V 2010,260 triệu,2010,Máy xăng,MPV,Xe cũ,30.000 km,Số sàn,Trong nước,Hà Nội
161,25/09/2025,Kia Cerato 2.0 AT Premium 2016,360 triệu,2016,Máy xăng,Sedan,Xe cũ,60.000 km,Số tự động,Trong nước,Đông Anh - Hà Nội
162,28/09/2025,Hyundai Grand i10 2014,115 triệu,2014,Máy xăng,Hatchback,Xe cũ,319.000 km,Số sàn,Nhập khẩu,Đông Anh - Hà Nội
163,05/10/2025,VinFast Fadil Tiêu Chuẩn 2020,270 triệu,2020,Máy xăng,Hatchback,Xe cũ,115.000 km,Số tự động,Trong nước,Cần Thơ
164,17/09/2025,Ford Ranger XLS 2.2 4x2 MT 2019,485 triệu,2019,Máy dầu,Bán tải,Xe cũ,80.000 km,Số sàn,Nhập khẩu,Tân Phú - Tp.HCM
165,17/09/2025,Ford Ranger XLS 2.2 4x2 MT 2019,485 triệu,2019,Máy dầu,Bán tải,Xe cũ,80.000 km,Số sàn,Nhập khẩu,Tân Phú - Tp.HCM
166,06/10/2025,Toyota Camry 2.5Q 2017,630 triệu,2017,Máy xăng,Sedan,Xe cũ,74.000 km,Số tự động,Trong nước,Tp.HCM
167,02/10/2025,Suzuki Celerio 1.0 MT 2019,220 triệu,2019,Máy xăng,Hatchback,Xe cũ,58.000 km,Số sàn,Nhập khẩu,Bình Dương
168,29/09/2025,Ford Everest XLT 4x2 MT 2008,220 triệu,2008,Máy xăng,SUV,Xe cũ,224.000 km,Số sàn,Trong nước,Đồng Nai
169,14/09/2025,Lexus GX 460 2016,2 tỉ 350 triệu,2016,Máy xăng,SUV,Xe cũ,68.000 km,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM
170,03/10/2025,Honda Jazz VX 2018,298 triệu,2018,Máy xăng,Hatchback,Xe cũ,47.000 km,Số tự động,Nhập khẩu,Thuận An - Bình Dương
171,30/09/2025,Kia Carens SX 2.0 AT 2010,215 triệu,2010,Máy xăng,MPV,Xe cũ,95.000 km,Số tự động,Nhập khẩu,Hà Nội
172,01/10/2025,Hyundai Creta 1.5L Đặc biệt 2022,590 triệu,2022,Máy xăng,SUV,Xe cũ,54.000 km,Số tự động,Nhập khẩu,Dĩ An - Bình Dương
173,20/09/2025,Volvo XC90 2022,3 tỉ 300 triệu,2022,Hybrid,SUV,Xe cũ,19.000 km,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM
174,06/10/2025,Mercedes-Benz GLC 200 4Matic 2022,1 tỉ 180 triệu,2022,Máy xăng,SUV,Xe cũ,59.000 km,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM
175,20/09/2025,Lexus GX 460 2016,2 tỉ 350 triệu,2016,Máy xăng,SUV,Xe cũ,68.000 km,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM
176,14/09/2025,Lexus ES 250 2021,1 tỉ 980 triệu,2021,Máy xăng,Sedan,Xe cũ,29.000 km,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM
177,07/10/2025,Mercedes-Benz C200 Avantgarde Plus 2022,1 tỉ 379 triệu,2022,Máy xăng,Sedan,Xe cũ,16.000 km,Số tự động,Trong nước,Bình Tân - Tp.HCM
178,19/09/2025,Mercedes-Benz GLC 200 V1 2022,1 tỉ 379 triệu,2022,Máy xăng,SUV,Xe cũ,28.000 km,Số tự động,Trong nước,Bình Tân - Tp.HCM
179,27/09/2025,Mercedes-Benz GLC 300 4Matic 2023,2 tỉ 379 triệu,2023,Máy xăng,SUV,Xe cũ,13.333 km,Số tự động,Trong nước,Bình Tân - Tp.HCM
180,29/09/2025,Ford Focus 1.5L EcoBoost Sport 2018,465 triệu,2018,Máy xăng,Hatchback,Xe cũ,76.000 km,Số tự động,Nhập khẩu,Tân Phú - Tp.HCM
181,04/10/2025,Honda CR-V 2.4L TG 2011,310 triệu,2011,Máy xăng,SUV,Xe cũ,140.000 km,Số tự động,Trong nước,Khoái Châu - Hưng Yên
182,29/09/2025,Hyundai Grand i10 Sedan 1.2 MT 2016,159 triệu,2016,Máy xăng,Sedan,Xe cũ,150.000 km,Số sàn,Nhập khẩu,Khoái Châu - Hưng Yên
183,29/09/2025,Kia Rondo 1.7 DAT 2015,350 triệu,2015,Máy dầu,SUV,Xe cũ,130.000 km,Số tự động,Trong nước,Khoái Châu - Hưng Yên
184,27/09/2025,Hyundai Grand i10 Sedan 1.2 MT 2018,218 triệu,2018,Máy xăng,Sedan,Xe cũ,120.000 km,Số sàn,Trong nước,Khoái Châu - Hưng Yên
185,11/09/2025,Toyota Corolla Altis 2.0V 2014,370 triệu,2014,Máy xăng,Sedan,Xe cũ,120.000 km,Số tự động,Trong nước,Khoái Châu - Hưng Yên
186,29/09/2025,Mazda CX-5 2.5 2WD 2016,505 triệu,2016,Máy xăng,SUV,Xe cũ,38.000 km,Số tự động,Trong nước,Hà Nội
187,29/09/2025,Hyundai Santa Fe 2.5 Xăng Cao cấp 2024,1 tỉ 190 triệu,2024,Máy xăng,SUV,Xe cũ,20.000 km,Số tự động,Trong nước,Hà Nội
188,06/10/2025,Toyota Camry 2.0Q 2022,999 triệu,2022,Máy xăng,Sedan,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Dĩ An - Bình Dương
189,25/09/2025,Mercedes-Benz C300 AMG 2015,699 triệu,2015,Máy xăng,Sedan,Xe cũ,80.000 km,Số tự động,Nhập khẩu,Dĩ An - Bình Dương
190,25/09/2025,VinFast Fadil Nâng Cao 2021,315 triệu,2021,Máy xăng,Hatchback,Xe cũ,29.000 km,Số tự động,Trong nước,Kiến An - Hải Phòng
191,18/09/2025,Hyundai Santa Fe 2.2 Dầu Cao cấp 2023,1 tỉ 190 triệu,2023,Máy dầu,SUV,Xe cũ,44.000 km,Số tự động,Trong nước,Kiến An - Hải Phòng
192,12/09/2025,Ford Territory 1.5L Titanium 2022,735 triệu,2022,Máy xăng,SUV,Xe cũ,55.000 km,Số tự động,Nhập khẩu,Kiến An - Hải Phòng
193,29/09/2025,Ford Everest Titanium 2.0 AT 4x2 2023,1 tỉ 195 triệu,2023,Máy dầu,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Hà Nội
194,21/09/2025,Ford Everest Titanium 2.0L AT 4WD 2024,1 tỉ 415 triệu,2024,Máy dầu,SUV,Xe cũ,9.000 km,Số tự động,Trong nước,Hà Nội
195,07/10/2025,Kia Sportage 2.0D Signature 2022,785 triệu,2022,Máy dầu,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Đoan Hùng - Phú Thọ
196,01/10/2025,Mercedes-Benz C200 2.0 AT 2019,789 triệu,2019,Máy xăng,Sedan,Xe cũ,80.000 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội
197,26/09/2025,Mercedes-Benz GLC 200 4Matic 2020,1 tỉ 190 triệu,2020,Máy xăng,SUV,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội
198,19/09/2025,Mercedes-Benz S450 4Matic 2022,3 tỉ 590 triệu,2022,Máy xăng,Sedan,Xe cũ,32.000 km,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội
199,04/10/2025,Rolls-Royce Ghost 2010,3 tỉ 950 triệu,2010,Máy xăng,Sedan,Xe cũ,70.000 km,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội
200,30/09/2025,Bentley Mulsanne 6.8 V8 2014,7 tỉ 900 triệu,2014,Máy xăng,Sedan,Xe cũ,53.000 km,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội
201,12/09/2025,Mini Cooper S 3 cửa 2022,1 tỉ 590 triệu,2022,Máy xăng,Hatchback,Xe cũ,9.500 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM
202,04/10/2025,Kia Carnival 3.5G Signature 2022,1 tỉ 290 triệu,2022,Máy xăng,MPV,Xe cũ,35.000 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
203,07/10/2025,Toyota Land Cruiser Prado VX 2021,2 tỉ 299 triệu,2021,Máy xăng,SUV,Xe cũ,86.000 km,Số tự động,Nhập khẩu,Dĩ An - Bình Dương
204,12/09/2025,Mazda 3 1.5L Sedan 2019,450 triệu,2019,Máy xăng,Sedan,Xe cũ,65.689 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội
205,01/10/2025,VinFast LUX A2.0 Cao cấp 2019,499 triệu,2019,Máy xăng,Sedan,Xe cũ,67.899 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội
206,10/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2022,373 triệu,2022,Máy xăng,Hatchback,Xe cũ,48.000 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội
207,10/09/2025,Toyota Vios 1.5 G CVT 2022,435 triệu,2022,Máy xăng,Sedan,Xe cũ,61.000 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội
208,16/09/2025,Mazda 3 Sedan 1.5L Luxury 2020,495 triệu,2020,Máy xăng,Sedan,Xe cũ,33.000 km,Số tự động,Trong nước,Hưng Yên - Hưng Yên
209,16/09/2025,Ford Ranger Wildtrak 2.0L 4x4 AT 2019,570 triệu,2019,Máy dầu,Bán tải,Xe cũ,68.000 km,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội
210,16/09/2025,Ford Everest Titanium 2.0 AT 4x2 2023,1 tỉ 219 triệu,2023,Máy dầu,SUV,Xe cũ,29.000 km,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội
211,26/09/2025,Mazda 3 Sedan 1.5L Luxury 2020,499 triệu,2020,Máy xăng,Sedan,Xe cũ,3.200 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội
212,10/09/2025,Kia Cerato 2.0 AT Premium 2020,470 triệu,2020,Máy xăng,Sedan,Xe cũ,72.000 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội
213,28/09/2025,Ford Ranger Wildtrak 2.2 4x2 AT 2014,315 triệu,2014,Máy dầu,Bán tải,Xe cũ,140.000 km,Số tự động,Trong nước,Đồ Sơn - Hải Phòng
214,21/09/2025,Ford Everest Titanium 2.0 AT 4x2 2023,1 tỉ 225 triệu,2023,Máy dầu,SUV,Xe cũ,22.000 km,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội
215,01/10/2025,Mazda 3 Sedan 1.5L Luxury 2020,499 triệu,2020,Máy xăng,Sedan,Xe cũ,3.200 km,Số tự động,Trong nước,Đồ Sơn - Hải Phòng
216,07/10/2025,Hyundai Grand i10 2015,145 triệu,2015,Máy xăng,Hatchback,Xe cũ,110.000 km,Số sàn,Nhập khẩu,Tĩnh Gia - Thanh Hóa
217,06/10/2025,Mercedes-Benz S450L Luxury 2021,2 tỉ 450 triệu,2021,Máy xăng,Sedan,Xe cũ,39.000 km,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM
218,06/10/2025,Mercedes-Benz S450L Luxury 2021,2 tỉ 450 triệu,2021,Máy xăng,Sedan,Xe cũ,39.000 km,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM
219,29/09/2025,Mercedes-Benz C200 Avantgarde 2023,1 tỉ 398 triệu,2023,Máy xăng,N/A,Xe cũ,3.500 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
220,24/09/2025,Mercedes-Benz GLC 300 4Matic 2023,2 tỉ 298 triệu,2023,Máy xăng,N/A,Xe cũ,28.000 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
221,25/09/2025,Porsche Macan 2021,2 tỉ 858 triệu,2021,Máy xăng,N/A,Xe cũ,28.000 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
222,03/10/2025,Kia Cerato 1.6 AT Luxury 2020,469 triệu,2020,Máy xăng,Sedan,Xe cũ,69.689 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội
223,05/10/2025,Toyota Sienna Limited 3.5 AT AWD 2016,1 tỉ 750 triệu,2016,Máy xăng,MPV,Xe cũ,76.000 km,Số tự động,Nhập khẩu,Quận 10 - Tp.HCM
224,05/10/2025,Mazda CX-8 Premium 2025,999 triệu,2025,Máy xăng,SUV,Xe cũ,20.000 km,Số tự động,Trong nước,Quận 10 - Tp.HCM
225,15/09/2025,Toyota Land Cruiser Prado VX 2019,1 tỉ 900 triệu,2019,Máy xăng,SUV,Xe cũ,85.981 km,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội
226,01/10/2025,Lexus RX 300 T 2022,2 tỉ 800 triệu,2022,Máy xăng,SUV,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội
227,18/09/2025,Mitsubishi Outlander 2.0 CVT Premium 2023,830 triệu,2023,Máy xăng,SUV,Xe cũ,01 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội
228,25/09/2025,Honda CR-V 1.5 L 2020,799 triệu,2020,Máy xăng,SUV,Xe cũ,55.131 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội
229,18/09/2025,Mitsubishi Outlander 2.0 CVT 2021,650 triệu,2021,Máy xăng,SUV,Xe cũ,01 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội
230,04/10/2025,Toyota Fortuner 2.4 MT 4x2 2019,775 triệu,2019,Máy dầu,SUV,Xe cũ,20.000 km,Số sàn,Trong nước,Thủ Đức - Tp.HCM
231,15/09/2025,Kia Carnival 3.5G Signature 2023,1 tỉ 230 triệu,2023,Máy xăng,MPV,Xe cũ,69.000 km,Số tự động,Trong nước,Đống Đa - Hà Nội
232,23/09/2025,Ford Territory 1.5L Ecoboost Titanium 2024,730 triệu,2024,Máy xăng,SUV,Xe cũ,40.000 km,Số tự động,Nhập khẩu,Tân Phú - Tp.HCM
233,19/09/2025,Ford Ranger Wildtrak 2.0L 4x4 AT 2021,750 triệu,2021,Máy dầu,Bán tải,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Tân Phú - Tp.HCM
234,03/10/2025,Ford Ranger Wildtrak 2.2 4x2 AT 2016,515 triệu,2016,Máy dầu,Bán tải,Xe cũ,59.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
235,01/10/2025,Ford Territory Titanium X 2023,805 triệu,2023,Máy xăng,SUV,Xe cũ,26.000 km,Số tự động,Nhập khẩu,Tân Phú - Tp.HCM
236,01/10/2025,Ford Ranger XLS 2.0L 4x4 AT 2025,720 triệu,2025,Máy dầu,Bán tải,Xe cũ,12.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
237,12/09/2025,VinFast LUX A2.0 Nâng cao 2021,545 triệu,2021,Máy xăng,Sedan,Xe cũ,79.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
238,26/09/2025,Hyundai Grand i10 2014,145 triệu,2014,Máy xăng,Hatchback,Xe cũ,89.000 km,Số sàn,Nhập khẩu,Can Lộc - Hà Tĩnh
239,25/09/2025,Hyundai Grand i10 2014,115 triệu,2014,Máy xăng,Hatchback,Xe cũ,110.000 km,Số sàn,Nhập khẩu,Vinh - Nghệ An
240,21/09/2025,Hyundai Grand i10 1.0 AT 2014,235 triệu,2014,Máy xăng,Hatchback,Xe cũ,81.000 km,Số tự động,Nhập khẩu,Vinh - Nghệ An
241,11/09/2025,Chevrolet Aveo LTZ 1.4 AT 2013,169 triệu,2013,Máy xăng,Sedan,Xe cũ,120.000 km,Số tự động,Trong nước,Vinh - Nghệ An
242,11/09/2025,Hyundai Grand i10 2014,126 triệu,2014,Máy xăng,Hatchback,Xe cũ,78.000 km,Số sàn,Nhập khẩu,Vinh - Nghệ An
243,03/10/2025,Hyundai Grand i10 2014,115 triệu,2014,Máy xăng,Hatchback,Xe cũ,111.000 km,Số sàn,Nhập khẩu,Hà Tĩnh - Hà Tĩnh
244,24/09/2025,Land Rover Range Rover Autobiography LWB 3.0 2023,11 tỉ 899 triệu,2023,Máy xăng,SUV,Xe cũ,21.000 km,Số tự động,Nhập khẩu,Long Biên - Hà Nội
245,16/09/2025,Toyota Fortuner 2.4 AT 4x2 Legender 2024,1 tỉ 165 triệu,2024,Máy dầu,SUV,Xe cũ,10.000 km,Số tự động,Trong nước,Bắc Từ Liêm - Hà Nội
246,16/09/2025,Mitsubishi Pajero Sport 2021,840 triệu,2021,Máy dầu,SUV,Xe cũ,60.000 km,Số tự động,Trong nước,Bắc Từ Liêm - Hà Nội
247,24/09/2025,Toyota Alphard Executive Lounge 2019,2 tỉ 999 triệu,2019,Máy xăng,Van/Minivan,Xe cũ,83.008 km,Số tự động,Nhập khẩu,Long Biên - Hà Nội
248,11/09/2025,Hyundai Santa Fe SLX 2010,410 triệu,2010,Máy dầu,SUV,Xe cũ,10.000 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội
249,11/09/2025,Ford Ranger Wildtrak 3.2 4x4 AT 2017,500 triệu,2017,Máy dầu,Bán tải,Xe cũ,120.000 km,Số tự động,Nhập khẩu,Hà Đông - Hà Nội
250,12/09/2025,Toyota Vios 1.5G AT 2020,410 triệu,2020,Máy xăng,Sedan,Xe cũ,90.000 km,Số tự động,Trong nước,Hà Đông - Hà Nội
251,11/09/2025,Nissan Navara 2.5 AT 2020,475 triệu,2020,Máy dầu,Bán tải,Xe cũ,90.000 km,Số tự động,Nhập khẩu,Hà Đông - Hà Nội
252,25/09/2025,Ford Focus 1.5L Ecoboost Titanium 2018,359 triệu,2018,Máy xăng,Sedan,Xe cũ,80.000 km,Số tự động,Trong nước,Tây Hồ - Hà Nội
253,29/09/2025,Land Rover Range Rover Autobiography LWB 5.0 2022,9 tỉ 850 triệu,2022,Máy xăng,SUV,Xe cũ,20.000 km,Số tự động,Nhập khẩu,Long Biên - Hà Nội
254,09/09/2025,Mercedes-Benz C300 AMG 2022,1 tỉ 789 triệu,2022,Máy xăng,Sedan,Xe cũ,17.000 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
255,09/09/2025,Mercedes-Benz GLS 450 2021,4 tỉ 099 triệu,2021,Máy xăng,N/A,Xe cũ,29.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM
256,24/09/2025,Kia Forte SX 1.6 AT 2009,235 triệu,2009,Máy xăng,Sedan,Xe cũ,200.000 km,Số tự động,Trong nước,An Lão - Hải Phòng
257,19/09/2025,Toyota Vios 1.5E MT 2018,286 triệu,2018,Máy xăng,Sedan,Xe cũ,80.000 km,Số sàn,Trong nước,An Lão - Hải Phòng
258,19/09/2025,Mitsubishi Xpander 1.5 MT 2019,379 triệu,2019,Máy xăng,N/A,Xe cũ,90.000 km,Số sàn,Nhập khẩu,An Lão - Hải Phòng
259,25/09/2025,Suzuki Swift 1.4 AT 2017,329 triệu,2017,Máy xăng,Hatchback,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Tây Hồ - Hà Nội
260,25/09/2025,Toyota Yaris 1.5G 2016,359 triệu,2016,Máy xăng,Hatchback,Xe cũ,67.000 km,Số tự động,Nhập khẩu,Tây Hồ - Hà Nội
261,25/09/2025,Mercedes-Benz GL 400 4Matic 2015,980 triệu,2015,Máy xăng,SUV,Xe cũ,95.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
262,19/09/2025,Toyota Corolla Altis 2.0V Sport 2017,486 triệu,2017,Máy xăng,Sedan,Xe cũ,80.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
263,28/09/2025,Kia K3 2.0 Premium 2022,565 triệu,2022,Máy xăng,Sedan,Xe cũ,60.000 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội
264,16/09/2025,Toyota Venza 3.5 AWD AT 2009,450 triệu,2009,Máy xăng,SUV,Xe cũ,110.000 km,Số tự động,Nhập khẩu,Hóc Môn - Tp.HCM
265,16/09/2025,Toyota Avanza 1.5 AT 2022,465 triệu,2022,Máy xăng,MPV,Xe cũ,65.000 km,Số tự động,Nhập khẩu,Hóc Môn - Tp.HCM
266,25/09/2025,Hyundai Accent 1.4 AT 2012,238 triệu,2012,Máy xăng,N/A,Xe cũ,120.000 km,Số tự động,Nhập khẩu,An Lão - Hải Phòng
267,25/09/2025,Hyundai Elantra 2014,318 triệu,2014,Máy xăng,Sedan,Xe cũ,80.000 km,Số tự động,Nhập khẩu,An Lão - Hải Phòng
268,14/09/2025,Hyundai Santa Fe 2.2 Dầu Đặc biệt 2022,1 tỉ 070 triệu,2022,Máy dầu,SUV,Xe cũ,58.000 km,Số tự động,Trong nước,Đoan Hùng - Phú Thọ
269,25/09/2025,Toyota Corolla Cross 1.8 V 2021,675 triệu,2021,Máy xăng,Crossover,Xe cũ,55.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
270,25/09/2025,Kia Carnival 2.2D Signature 2023,1 tỉ 268 triệu,2023,Máy dầu,MPV,Xe cũ,60.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
271,25/09/2025,Kia Morning AT 2011,208 triệu,2011,Máy xăng,Hatchback,Xe cũ,120.000 km,Số tự động,Nhập khẩu,An Lão - Hải Phòng
272,25/09/2025,Kia Carnival Royal 2023,1 tỉ 990 triệu,2023,Máy xăng,MPV,Xe cũ,22.000 km,Số tự động,Trong nước,Bắc Từ Liêm - Hà Nội
273,25/09/2025,Mercedes-Benz AMG G63 4.0 v8 2021,9 tỉ 390 triệu,2021,Máy xăng,SUV,Xe cũ,29.000 km,Số tự động,Trong nước,Bắc Từ Liêm - Hà Nội
274,25/09/2025,BMW X7 xDrive40i Msport 2022,4 tỉ 399 triệu,2022,Máy xăng,SUV,Xe cũ,32.000 km,Số tự động,Nhập khẩu,Bắc Từ Liêm - Hà Nội
275,25/09/2025,Rolls-Royce Ghost Series II 2015,9 tỉ 900 triệu,2015,Máy xăng,Sedan,Xe cũ,18.000 km,Số tự động,Nhập khẩu,Bắc Từ Liêm - Hà Nội
276,25/09/2025,Land Rover Range Rover Vogue SWB 3.0P 360PS 2018,4 tỉ 680 triệu,2018,Máy xăng,SUV,Xe cũ,37.000 km,Số tự động,Nhập khẩu,Bắc Từ Liêm - Hà Nội
277,25/09/2025,Lexus LM 350 2022,5 tỉ 890 triệu,2022,Máy xăng,MPV,Xe cũ,45.000 km,Số tự động,Nhập khẩu,Bắc Từ Liêm - Hà Nội
278,25/09/2025,Mercedes-Benz C200 2015,575 triệu,2015,Máy xăng,Sedan,Xe cũ,60.000 km,Số tự động,Trong nước,Thủ Đức - Tp.HCM
279,14/09/2025,Mazda CX-5 2.0L Premium Sport 2024,810 triệu,2024,Máy xăng,SUV,Xe cũ,17.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
280,10/09/2025,Hyundai Santa Fe 2.4L Xăng Cao cấp 2016,555 triệu,2016,Máy xăng,SUV,Xe cũ,102.000 km,Số tự động,Trong nước,Chí Linh - Hải Dương
281,10/09/2025,Mitsubishi Outlander 2.4 CVT Premium 2018,565 triệu,2018,Máy xăng,SUV,Xe cũ,106.000 km,Số tự động,Nhập khẩu,Kim Thành - Hải Dương
282,10/09/2025,Mitsubishi Xpander AT Premium 2022,540 triệu,2022,Máy xăng,SUV,Xe cũ,83.000 km,Số tự động,Trong nước,Chí Linh - Hải Dương
283,23/09/2025,Ford Tourneo Titanium 2019,699 triệu,2019,Máy xăng,MPV,Xe cũ,30.000 km,Số tự động,Trong nước,Thủ Đức - Tp.HCM
284,23/09/2025,Kia Cerato 1.6 MT 2021,439 triệu,2021,Máy xăng,Sedan,Xe cũ,50.000 km,Số sàn,Trong nước,Tân An - Long An
285,23/09/2025,Kia Cerato 1.6 MT 2021,439 triệu,2021,Máy xăng,Sedan,Xe cũ,50.000 km,Số sàn,Trong nước,Tân An - Long An
286,23/09/2025,Toyota Fortuner 2022,910 triệu,2022,Máy xăng,N/A,Xe cũ,56.000 km,Số tự động,Trong nước,Tân An - Long An
287,23/09/2025,Hyundai Tucson 1.6 Turbo HTRAC 2024,919 triệu,2024,Máy xăng,SUV,Xe cũ,32.000 km,Số tự động,Trong nước,Tân An - Long An
288,15/09/2025,Mazda 3 Sedan 1.5L Deluxe 2018,445 triệu,2018,Máy xăng,Sedan,Xe cũ,76.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
289,15/09/2025,Peugeot 5008 Allure 2018,650 triệu,2018,Máy xăng,SUV,Xe cũ,49.219 km,Số tự động,Trong nước,Thuận An - Bình Dương
290,15/09/2025,Kia Sorento 2.4AT 2018,540 triệu,2018,Máy xăng,MPV,Xe cũ,43.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
291,15/09/2025,Peugeot 3008 2018,615 triệu,2018,Máy xăng,N/A,Xe cũ,90.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
292,09/09/2025,Toyota Camry 2.5Q 2016,628 triệu,2016,Máy xăng,Sedan,Xe cũ,118.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
293,12/09/2025,Toyota Fortuner 2.8 AT 4x4 Legender 2021,1 tỉ 020 triệu,2021,Máy dầu,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
294,12/09/2025,Toyota Fortuner 2.4 AT 4x2 Legender 2022,1 tỉ 010 triệu,2022,Máy dầu,SUV,Xe cũ,60.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
295,22/09/2025,Toyota Previa 2010,589 triệu,2010,Máy xăng,Van/Minivan,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Quận 10 - Tp.HCM
296,22/09/2025,Mazda 2 2018,359 triệu,2018,Máy xăng,Hatchback,Xe cũ,30.000 km,Số tự động,Trong nước,Quận 10 - Tp.HCM
297,22/09/2025,Porsche Macan 2017,1 tỉ 550 triệu,2017,Máy xăng,SUV,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Quận 10 - Tp.HCM
298,22/09/2025,Peugeot 5008 Allure 2022,819 triệu,2022,Máy xăng,SUV,Xe cũ,30.000 km,Số tự động,Nhập khẩu,Thủ Đức - Tp.HCM
299,19/09/2025,Ford Everest Titanium 2.0 AT 4x2 2023,1 tỉ 190 triệu,2023,Máy dầu,SUV,Xe cũ,40.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
300,10/09/2025,Kia Carnival 2.2D Signature 2023,1 tỉ 279 triệu,2023,Máy dầu,MPV,Xe cũ,40.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
301,16/09/2025,VinFast VF8 S 2024,860 triệu,2024,Điện,SUV,Xe cũ,30 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
302,16/09/2025,VinFast VF8 S 2024,860 triệu,2024,Điện,SUV,Xe cũ,20 km,Số tự động,Trong nước,Bắc Ninh - Bắc Ninh
303,16/09/2025,VinFast VF8 S 2024,858 triệu,2024,Điện,SUV,Xe cũ,46 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
304,20/09/2025,Mercedes-Benz GLS 450 4Matic 2021,3 tỉ 889 triệu,2021,Máy xăng,SUV,Xe cũ,65.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
305,09/09/2025,Lexus RX 300 2022,2 tỉ 979 triệu,2022,Máy xăng,SUV,Xe cũ,32.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
306,19/09/2025,Mitsubishi Xpander AT Premium 2024,590 triệu,2024,Máy xăng,MPV,Xe cũ,20.000 km,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội
307,18/09/2025,Porsche Macan 2.0 2022,3 tỉ 679 triệu,2022,Máy xăng,SUV,Xe cũ,10.600 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM
308,18/09/2025,Ford Mustang EcoBoost 2019,1 tỉ 750 triệu,2019,Máy xăng,Sedan,Xe cũ,29.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM
